"ID","日期","縣市別","區域","新增確診人數","累計確診人數"
"1","2021-05-30","南投縣","全區","4","20"
"2","2021-05-30","南投縣","埔里鎮","4","5"
"3","2021-05-30","台中市","全區","9","128"
"4","2021-05-30","台中市","北屯區","6","22"
"5","2021-05-30","台中市","潭子區","1","12"
"6","2021-05-30","台中市","龍井區","1","7"
"7","2021-05-30","台中市","西區","1","3"
"8","2021-05-30","台北市","全區","83","2599"
"9","2021-05-30","台北市","萬華區","19","1210"
"10","2021-05-30","台北市","文山區","7","205"
"11","2021-05-30","台北市","信義區","8","161"
"12","2021-05-30","台北市","中正區","6","156"
"13","2021-05-30","台北市","大同區","2","133"
"14","2021-05-30","台北市","大安區","7","129"
"15","2021-05-30","台北市","士林區","10","127"
"16","2021-05-30","台北市","中山區","4","124"
"17","2021-05-30","台北市","北投區","7","105"
"18","2021-05-30","台北市","松山區","3","91"
"19","2021-05-30","台北市","內湖區","8","83"
"20","2021-05-30","台北市","南港區","2","75"
"21","2021-05-30","台東縣","全區","1","14"
"22","2021-05-30","台東縣","太麻里鄉","1","5"
"23","2021-05-30","嘉義縣","全區","3","8"
"24","2021-05-30","嘉義縣","大林鎮","3","7"
"25","2021-05-30","基隆市","全區","8","126"
"26","2021-05-30","基隆市","安樂區","2","26"
"27","2021-05-30","基隆市","仁愛區","3","21"
"28","2021-05-30","基隆市","七堵區","2","16"
"29","2021-05-30","基隆市","信義區","1","11"
"30","2021-05-30","宜蘭縣","全區","1","67"
"31","2021-05-30","宜蘭縣","礁溪鄉","1","9"
"32","2021-05-30","彰化縣","全區","9","147"
"33","2021-05-30","彰化縣","溪湖鎮","1","49"
"34","2021-05-30","彰化縣","員林市","1","20"
"35","2021-05-30","彰化縣","埔心鄉","2","16"
"36","2021-05-30","彰化縣","埤頭鄉","3","3"
"37","2021-05-30","彰化縣","芳苑鄉","1","2"
"38","2021-05-30","彰化縣","田尾鄉","1","1"
"39","2021-05-30","新北市","全區","198","3325"
"40","2021-05-30","新北市","板橋區","26","761"
"41","2021-05-30","新北市","中和區","23","528"
"42","2021-05-30","新北市","三重區","24","370"
"43","2021-05-30","新北市","新莊區","30","310"
"44","2021-05-30","新北市","永和區","23","276"
"45","2021-05-30","新北市","土城區","18","228"
"46","2021-05-30","新北市","新店區","10","198"
"47","2021-05-30","新北市","蘆洲區","6","126"
"48","2021-05-30","新北市","汐止區","3","93"
"49","2021-05-30","新北市","樹林區","11","90"
"50","2021-05-30","新北市","五股區","7","75"
"51","2021-05-30","新北市","淡水區","5","67"
"52","2021-05-30","新北市","林口區","1","45"
"53","2021-05-30","新北市","三峽區","3","44"
"54","2021-05-30","新北市","泰山區","5","39"
"55","2021-05-30","新北市","鶯歌區","1","14"
"56","2021-05-30","新北市","瑞芳區","2","6"
"57","2021-05-30","新竹市","全區","1","19"
"58","2021-05-30","新竹市","北區","1","3"
"59","2021-05-30","桃園市","全區","24","328"
"60","2021-05-30","桃園市","桃園區","5","99"
"61","2021-05-30","桃園市","龜山區","12","75"
"62","2021-05-30","桃園市","中壢區","1","39"
"63","2021-05-30","桃園市","蘆竹區","2","30"
"64","2021-05-30","桃園市","八德區","1","25"
"65","2021-05-30","桃園市","大溪區","2","6"
"66","2021-05-30","桃園市","大園區","1","5"
"67","2021-05-30","花蓮縣","全區","6","31"
"68","2021-05-30","花蓮縣","花蓮市","6","22"
"69","2021-05-30","苗栗縣","全區","9","20"
"70","2021-05-30","苗栗縣","頭份市","8","11"
"71","2021-05-30","苗栗縣","造橋鄉","1","6"
"72","2021-05-30","連江縣","全區","1","4"
"73","2021-05-30","連江縣","北竿鄉","1","1"
"74","2021-05-30","高雄市","全區","1","46"
"75","2021-05-30","高雄市","鳳山區","1","12"
"76","2021-05-29","台中市","全區","33","119"
"77","2021-05-29","台中市","西屯區","3","21"
"78","2021-05-29","台中市","北屯區","9","16"
"79","2021-05-29","台中市","太平區","2","12"
"80","2021-05-29","台中市","潭子區","7","11"
"81","2021-05-29","台中市","豐原區","8","11"
"82","2021-05-29","台中市","西區","2","2"
"83","2021-05-29","台中市","南屯區","1","2"
"84","2021-05-29","台中市","東勢區","1","1"
"85","2021-05-29","台北市","全區","167","2516"
"86","2021-05-29","台北市","萬華區","42","1191"
"87","2021-05-29","台北市","文山區","15","198"
"88","2021-05-29","台北市","信義區","10","153"
"89","2021-05-29","台北市","中正區","19","150"
"90","2021-05-29","台北市","大同區","8","131"
"91","2021-05-29","台北市","大安區","16","122"
"92","2021-05-29","台北市","中山區","14","120"
"93","2021-05-29","台北市","士林區","9","117"
"94","2021-05-29","台北市","北投區","10","98"
"95","2021-05-29","台北市","松山區","12","88"
"96","2021-05-29","台北市","內湖區","7","75"
"97","2021-05-29","台北市","南港區","5","73"
"98","2021-05-29","台東縣","全區","5","13"
"99","2021-05-29","台東縣","金峰鄉","4","7"
"100","2021-05-29","台東縣","太麻里鄉","1","4"
"101","2021-05-29","嘉義縣","全區","4","5"
"102","2021-05-29","嘉義縣","大林鎮","4","4"
"103","2021-05-29","基隆市","全區","15","118"
"104","2021-05-29","基隆市","中山區","2","30"
"105","2021-05-29","基隆市","安樂區","6","24"
"106","2021-05-29","基隆市","仁愛區","1","18"
"107","2021-05-29","基隆市","中正區","1","12"
"108","2021-05-29","基隆市","信義區","3","10"
"109","2021-05-29","基隆市","暖暖區","2","10"
"110","2021-05-29","宜蘭縣","全區","5","66"
"111","2021-05-29","宜蘭縣","羅東鎮","2","11"
"112","2021-05-29","宜蘭縣","五結鄉","1","10"
"113","2021-05-29","宜蘭縣","礁溪鄉","1","8"
"114","2021-05-29","宜蘭縣","頭城鎮","1","7"
"115","2021-05-29","彰化縣","全區","2","138"
"116","2021-05-29","彰化縣","田中鎮","1","13"
"117","2021-05-29","彰化縣","二林鎮","1","2"
"118","2021-05-29","新北市","全區","221","3127"
"119","2021-05-29","新北市","板橋區","33","735"
"120","2021-05-29","新北市","中和區","33","505"
"121","2021-05-29","新北市","三重區","20","346"
"122","2021-05-29","新北市","新莊區","18","280"
"123","2021-05-29","新北市","永和區","36","253"
"124","2021-05-29","新北市","土城區","20","210"
"125","2021-05-29","新北市","新店區","17","188"
"126","2021-05-29","新北市","蘆洲區","5","120"
"127","2021-05-29","新北市","汐止區","12","90"
"128","2021-05-29","新北市","樹林區","4","79"
"129","2021-05-29","新北市","五股區","3","68"
"130","2021-05-29","新北市","林口區","6","44"
"131","2021-05-29","新北市","三峽區","5","41"
"132","2021-05-29","新北市","泰山區","2","34"
"133","2021-05-29","新北市","深坑區","3","19"
"134","2021-05-29","新北市","八里區","2","14"
"135","2021-05-29","新北市","瑞芳區","1","4"
"136","2021-05-29","新北市","萬里區","1","4"
"137","2021-05-29","新竹市","全區","1","18"
"138","2021-05-29","新竹市","香山區","1","4"
"139","2021-05-29","新竹縣","全區","2","19"
"140","2021-05-29","新竹縣","竹北市","1","17"
"141","2021-05-29","新竹縣","新埔鎮","1","1"
"142","2021-05-29","桃園市","全區","19","304"
"143","2021-05-29","桃園市","桃園區","4","94"
"144","2021-05-29","桃園市","龜山區","4","63"
"145","2021-05-29","桃園市","中壢區","1","38"
"146","2021-05-29","桃園市","八德區","1","24"
"147","2021-05-29","桃園市","平鎮區","2","19"
"148","2021-05-29","桃園市","楊梅區","5","16"
"149","2021-05-29","桃園市","大園區","2","4"
"150","2021-05-29","空值","全區","7","1186"
"151","2021-05-29","空值","空值","7","1186"
"152","2021-05-29","花蓮縣","全區","4","25"
"153","2021-05-29","花蓮縣","花蓮市","4","16"
"154","2021-05-29","苗栗縣","全區","3","11"
"155","2021-05-29","苗栗縣","造橋鄉","1","5"
"156","2021-05-29","苗栗縣","頭份市","2","3"
"157","2021-05-29","雲林縣","全區","1","11"
"158","2021-05-29","雲林縣","斗六市","1","2"
"159","2021-05-29","高雄市","全區","1","45"
"160","2021-05-29","高雄市","三民區","1","4"
"161","2021-05-28","南投縣","全區","1","16"
"162","2021-05-28","南投縣","草屯鎮","1","12"
"163","2021-05-28","台中市","全區","10","86"
"164","2021-05-28","台中市","西屯區","1","18"
"165","2021-05-28","台中市","霧峰區","1","11"
"166","2021-05-28","台中市","太平區","1","10"
"167","2021-05-28","台中市","大雅區","1","7"
"168","2021-05-28","台中市","北屯區","2","7"
"169","2021-05-28","台中市","東區","2","6"
"170","2021-05-28","台中市","石岡區","1","1"
"171","2021-05-28","台中市","南屯區","1","1"
"172","2021-05-28","台北市","全區","209","2349"
"173","2021-05-28","台北市","萬華區","83","1149"
"174","2021-05-28","台北市","文山區","19","183"
"175","2021-05-28","台北市","信義區","10","143"
"176","2021-05-28","台北市","中正區","11","131"
"177","2021-05-28","台北市","大同區","13","123"
"178","2021-05-28","台北市","士林區","9","108"
"179","2021-05-28","台北市","大安區","7","106"
"180","2021-05-28","台北市","中山區","11","106"
"181","2021-05-28","台北市","北投區","20","88"
"182","2021-05-28","台北市","松山區","8","76"
"183","2021-05-28","台北市","內湖區","9","68"
"184","2021-05-28","台北市","南港區","9","68"
"185","2021-05-28","台南市","全區","6","28"
"186","2021-05-28","台南市","白河區","3","3"
"187","2021-05-28","台南市","西港區","3","3"
"188","2021-05-28","台東縣","全區","1","8"
"189","2021-05-28","台東縣","金峰鄉","1","3"
"190","2021-05-28","嘉義市","全區","2","7"
"191","2021-05-28","嘉義市","西區","2","7"
"192","2021-05-28","基隆市","全區","7","103"
"193","2021-05-28","基隆市","中山區","1","28"
"194","2021-05-28","基隆市","中正區","1","11"
"195","2021-05-28","基隆市","暖暖區","2","8"
"196","2021-05-28","基隆市","信義區","3","7"
"197","2021-05-28","屏東縣","全區","1","27"
"198","2021-05-28","屏東縣","東港鎮","1","3"
"199","2021-05-28","彰化縣","全區","9","136"
"200","2021-05-28","彰化縣","溪湖鎮","1","48"
"201","2021-05-28","彰化縣","埔心鄉","1","14"
"202","2021-05-28","彰化縣","田中鎮","2","12"
"203","2021-05-28","彰化縣","和美鎮","3","4"
"204","2021-05-28","彰化縣","二水鄉","1","2"
"205","2021-05-28","彰化縣","二林鎮","1","1"
"206","2021-05-28","新北市","全區","275","2906"
"207","2021-05-28","新北市","板橋區","46","702"
"208","2021-05-28","新北市","中和區","48","472"
"209","2021-05-28","新北市","三重區","26","326"
"210","2021-05-28","新北市","新莊區","28","262"
"211","2021-05-28","新北市","永和區","40","217"
"212","2021-05-28","新北市","土城區","26","190"
"213","2021-05-28","新北市","新店區","4","171"
"214","2021-05-28","新北市","蘆洲區","14","115"
"215","2021-05-28","新北市","汐止區","5","78"
"216","2021-05-28","新北市","樹林區","9","75"
"217","2021-05-28","新北市","五股區","3","65"
"218","2021-05-28","新北市","淡水區","12","62"
"219","2021-05-28","新北市","林口區","3","38"
"220","2021-05-28","新北市","三峽區","3","36"
"221","2021-05-28","新北市","泰山區","2","32"
"222","2021-05-28","新北市","鶯歌區","2","13"
"223","2021-05-28","新北市","金山區","3","8"
"224","2021-05-28","新北市","石碇區","1","7"
"225","2021-05-28","新竹市","全區","1","17"
"226","2021-05-28","新竹市","東區","1","12"
"227","2021-05-28","新竹縣","全區","1","17"
"228","2021-05-28","新竹縣","竹北市","1","16"
"229","2021-05-28","桃園市","全區","22","285"
"230","2021-05-28","桃園市","桃園區","10","90"
"231","2021-05-28","桃園市","龜山區","1","59"
"232","2021-05-28","桃園市","中壢區","4","37"
"233","2021-05-28","桃園市","蘆竹區","1","28"
"234","2021-05-28","桃園市","八德區","3","23"
"235","2021-05-28","桃園市","平鎮區","1","17"
"236","2021-05-28","桃園市","龍潭區","1","7"
"237","2021-05-28","桃園市","觀音區","1","5"
"238","2021-05-28","空值","全區","2","1179"
"239","2021-05-28","空值","空值","2","1179"
"240","2021-05-28","花蓮縣","全區","9","21"
"241","2021-05-28","花蓮縣","花蓮市","5","12"
"242","2021-05-28","花蓮縣","吉安鄉","4","6"
"243","2021-05-28","高雄市","全區","1","44"
"244","2021-05-28","高雄市","鳳山區","1","11"
"245","2021-05-27","南投縣","全區","1","15"
"246","2021-05-27","南投縣","草屯鎮","1","11"
"247","2021-05-27","台中市","全區","10","76"
"248","2021-05-27","台中市","西屯區","2","17"
"249","2021-05-27","台中市","太平區","2","9"
"250","2021-05-27","台中市","大雅區","2","6"
"251","2021-05-27","台中市","龍井區","1","6"
"252","2021-05-27","台中市","北區","1","5"
"253","2021-05-27","台中市","潭子區","1","4"
"254","2021-05-27","台中市","豐原區","1","3"
"255","2021-05-27","台北市","全區","225","2140"
"256","2021-05-27","台北市","萬華區","78","1066"
"257","2021-05-27","台北市","文山區","36","164"
"258","2021-05-27","台北市","信義區","16","133"
"259","2021-05-27","台北市","中正區","20","120"
"260","2021-05-27","台北市","大同區","14","110"
"261","2021-05-27","台北市","士林區","9","99"
"262","2021-05-27","台北市","大安區","12","99"
"263","2021-05-27","台北市","中山區","13","95"
"264","2021-05-27","台北市","北投區","6","68"
"265","2021-05-27","台北市","松山區","9","68"
"266","2021-05-27","台北市","內湖區","8","59"
"267","2021-05-27","台北市","南港區","4","59"
"268","2021-05-27","台南市","全區","1","22"
"269","2021-05-27","台南市","新營區","1","3"
"270","2021-05-27","台東縣","全區","4","7"
"271","2021-05-27","台東縣","太麻里鄉","2","3"
"272","2021-05-27","台東縣","金峰鄉","1","2"
"273","2021-05-27","台東縣","卑南鄉","1","1"
"274","2021-05-27","嘉義市","全區","3","5"
"275","2021-05-27","嘉義市","西區","3","5"
"276","2021-05-27","基隆市","全區","17","96"
"277","2021-05-27","基隆市","中山區","3","27"
"278","2021-05-27","基隆市","安樂區","1","18"
"279","2021-05-27","基隆市","仁愛區","5","17"
"280","2021-05-27","基隆市","七堵區","3","14"
"281","2021-05-27","基隆市","中正區","2","10"
"282","2021-05-27","基隆市","暖暖區","2","6"
"283","2021-05-27","基隆市","信義區","1","4"
"284","2021-05-27","宜蘭縣","全區","10","61"
"285","2021-05-27","宜蘭縣","宜蘭市","3","14"
"286","2021-05-27","宜蘭縣","五結鄉","3","9"
"287","2021-05-27","宜蘭縣","冬山鄉","1","9"
"288","2021-05-27","宜蘭縣","礁溪鄉","3","7"
"289","2021-05-27","屏東縣","全區","3","26"
"290","2021-05-27","屏東縣","九如鄉","1","2"
"291","2021-05-27","屏東縣","東港鎮","1","2"
"292","2021-05-27","屏東縣","萬巒鄉","1","2"
"293","2021-05-27","彰化縣","全區","13","127"
"294","2021-05-27","彰化縣","溪湖鎮","3","47"
"295","2021-05-27","彰化縣","員林市","3","19"
"296","2021-05-27","彰化縣","彰化市","2","15"
"297","2021-05-27","彰化縣","埔心鄉","2","13"
"298","2021-05-27","彰化縣","田中鎮","1","10"
"299","2021-05-27","彰化縣","花壇鄉","1","3"
"300","2021-05-27","彰化縣","二水鄉","1","1"
"301","2021-05-27","新北市","全區","328","2631"
"302","2021-05-27","新北市","板橋區","77","656"
"303","2021-05-27","新北市","中和區","69","424"
"304","2021-05-27","新北市","三重區","43","300"
"305","2021-05-27","新北市","新莊區","20","234"
"306","2021-05-27","新北市","永和區","18","177"
"307","2021-05-27","新北市","新店區","17","167"
"308","2021-05-27","新北市","土城區","8","164"
"309","2021-05-27","新北市","蘆洲區","12","101"
"310","2021-05-27","新北市","汐止區","17","73"
"311","2021-05-27","新北市","樹林區","9","66"
"312","2021-05-27","新北市","五股區","8","62"
"313","2021-05-27","新北市","淡水區","4","50"
"314","2021-05-27","新北市","林口區","3","35"
"315","2021-05-27","新北市","三峽區","9","33"
"316","2021-05-27","新北市","泰山區","2","30"
"317","2021-05-27","新北市","深坑區","4","16"
"318","2021-05-27","新北市","鶯歌區","6","11"
"319","2021-05-27","新北市","石碇區","2","6"
"320","2021-05-27","新竹市","全區","1","16"
"321","2021-05-27","新竹市","東區","1","11"
"322","2021-05-27","新竹縣","全區","5","16"
"323","2021-05-27","新竹縣","竹北市","5","15"
"324","2021-05-27","桃園市","全區","23","263"
"325","2021-05-27","桃園市","桃園區","5","80"
"326","2021-05-27","桃園市","龜山區","4","58"
"327","2021-05-27","桃園市","中壢區","5","33"
"328","2021-05-27","桃園市","八德區","2","20"
"329","2021-05-27","桃園市","平鎮區","1","16"
"330","2021-05-27","桃園市","楊梅區","2","11"
"331","2021-05-27","桃園市","龍潭區","2","6"
"332","2021-05-27","桃園市","大溪區","1","4"
"333","2021-05-27","桃園市","觀音區","1","4"
"334","2021-05-27","空值","全區","4","1177"
"335","2021-05-27","空值","空值","4","1177"
"336","2021-05-27","花蓮縣","全區","6","12"
"337","2021-05-27","花蓮縣","花蓮市","5","7"
"338","2021-05-27","花蓮縣","吉安鄉","1","2"
"339","2021-05-27","苗栗縣","全區","1","8"
"340","2021-05-27","苗栗縣","造橋鄉","1","4"
"341","2021-05-27","連江縣","全區","2","3"
"342","2021-05-27","連江縣","南竿鄉","1","2"
"343","2021-05-27","連江縣","莒光鄉","1","1"
"344","2021-05-27","雲林縣","全區","1","10"
"345","2021-05-27","雲林縣","古坑鄉","1","1"
"346","2021-05-27","高雄市","全區","14","43"
"347","2021-05-27","高雄市","鳳山區","8","10"
"348","2021-05-27","高雄市","前鎮區","1","4"
"349","2021-05-27","高雄市","新興區","1","4"
"350","2021-05-27","高雄市","三民區","1","3"
"351","2021-05-27","高雄市","大社區","1","2"
"352","2021-05-27","高雄市","岡山區","1","1"
"353","2021-05-27","高雄市","旗山區","1","1"
"354","2021-05-26","台中市","全區","11","66"
"355","2021-05-26","台中市","西屯區","3","15"
"356","2021-05-26","台中市","龍井區","1","5"
"357","2021-05-26","台中市","大雅區","2","4"
"358","2021-05-26","台中市","北區","1","4"
"359","2021-05-26","台中市","東區","2","4"
"360","2021-05-26","台中市","豐原區","2","2"
"361","2021-05-26","台北市","全區","308","1915"
"362","2021-05-26","台北市","萬華區","117","988"
"363","2021-05-26","台北市","文山區","24","128"
"364","2021-05-26","台北市","信義區","33","117"
"365","2021-05-26","台北市","中正區","25","100"
"366","2021-05-26","台北市","大同區","20","96"
"367","2021-05-26","台北市","士林區","25","90"
"368","2021-05-26","台北市","大安區","18","87"
"369","2021-05-26","台北市","中山區","12","82"
"370","2021-05-26","台北市","北投區","10","62"
"371","2021-05-26","台北市","松山區","8","59"
"372","2021-05-26","台北市","南港區","9","55"
"373","2021-05-26","台北市","內湖區","7","51"
"374","2021-05-26","台南市","全區","8","21"
"375","2021-05-26","台南市","北區","1","3"
"376","2021-05-26","台南市","安平區","1","3"
"377","2021-05-26","台南市","安南區","2","3"
"378","2021-05-26","台南市","東區","3","3"
"379","2021-05-26","台南市","南區","1","1"
"380","2021-05-26","台東縣","全區","1","3"
"381","2021-05-26","台東縣","金峰鄉","1","1"
"382","2021-05-26","嘉義市","全區","1","2"
"383","2021-05-26","嘉義市","西區","1","2"
"384","2021-05-26","基隆市","全區","13","79"
"385","2021-05-26","基隆市","中山區","7","24"
"386","2021-05-26","基隆市","安樂區","3","17"
"387","2021-05-26","基隆市","七堵區","2","11"
"388","2021-05-26","基隆市","信義區","1","3"
"389","2021-05-26","宜蘭縣","全區","2","51"
"390","2021-05-26","宜蘭縣","南澳鄉","1","2"
"391","2021-05-26","宜蘭縣","蘇澳鎮","1","2"
"392","2021-05-26","屏東縣","全區","2","23"
"393","2021-05-26","屏東縣","屏東市","2","4"
"394","2021-05-26","彰化縣","全區","2","114"
"395","2021-05-26","彰化縣","員林市","1","16"
"396","2021-05-26","彰化縣","花壇鄉","1","2"
"397","2021-05-26","新北市","全區","255","2303"
"398","2021-05-26","新北市","板橋區","65","579"
"399","2021-05-26","新北市","中和區","48","355"
"400","2021-05-26","新北市","三重區","27","257"
"401","2021-05-26","新北市","新莊區","24","214"
"402","2021-05-26","新北市","永和區","13","159"
"403","2021-05-26","新北市","土城區","20","156"
"404","2021-05-26","新北市","新店區","16","150"
"405","2021-05-26","新北市","蘆洲區","9","89"
"406","2021-05-26","新北市","樹林區","6","57"
"407","2021-05-26","新北市","汐止區","12","56"
"408","2021-05-26","新北市","五股區","1","54"
"409","2021-05-26","新北市","淡水區","6","46"
"410","2021-05-26","新北市","林口區","3","32"
"411","2021-05-26","新北市","泰山區","1","28"
"412","2021-05-26","新北市","三峽區","1","24"
"413","2021-05-26","新北市","深坑區","1","12"
"414","2021-05-26","新北市","金山區","1","5"
"415","2021-05-26","新北市","瑞芳區","1","3"
"416","2021-05-26","新竹縣","全區","4","11"
"417","2021-05-26","新竹縣","竹北市","4","10"
"418","2021-05-26","桃園市","全區","25","240"
"419","2021-05-26","桃園市","桃園區","7","75"
"420","2021-05-26","桃園市","龜山區","8","54"
"421","2021-05-26","桃園市","中壢區","2","28"
"422","2021-05-26","桃園市","蘆竹區","2","27"
"423","2021-05-26","桃園市","八德區","3","18"
"424","2021-05-26","桃園市","平鎮區","1","15"
"425","2021-05-26","桃園市","楊梅區","2","9"
"426","2021-05-26","空值","全區","2","1173"
"427","2021-05-26","空值","空值","2","1173"
"428","2021-05-26","花蓮縣","全區","1","6"
"429","2021-05-26","花蓮縣","光復鄉","1","3"
"430","2021-05-26","苗栗縣","全區","1","7"
"431","2021-05-26","苗栗縣","頭份市","1","1"
"432","2021-05-26","連江縣","全區","1","1"
"433","2021-05-26","連江縣","南竿鄉","1","1"
"434","2021-05-26","雲林縣","全區","2","9"
"435","2021-05-26","雲林縣","麥寮鄉","1","2"
"436","2021-05-26","雲林縣","斗六市","1","1"
"437","2021-05-26","高雄市","全區","2","29"
"438","2021-05-26","高雄市","前鎮區","2","3"
"439","2021-05-25","南投縣","全區","2","14"
"440","2021-05-25","南投縣","草屯鎮","2","10"
"441","2021-05-25","台中市","全區","10","55"
"442","2021-05-25","台中市","西屯區","3","12"
"443","2021-05-25","台中市","太平區","1","7"
"444","2021-05-25","台中市","沙鹿區","1","3"
"445","2021-05-25","台中市","大雅區","2","2"
"446","2021-05-25","台中市","東區","2","2"
"447","2021-05-25","台中市","中區","1","1"
"448","2021-05-25","台北市","全區","196","1607"
"449","2021-05-25","台北市","萬華區","101","871"
"450","2021-05-25","台北市","文山區","9","104"
"451","2021-05-25","台北市","信義區","16","84"
"452","2021-05-25","台北市","大同區","7","76"
"453","2021-05-25","台北市","中正區","10","75"
"454","2021-05-25","台北市","中山區","10","70"
"455","2021-05-25","台北市","大安區","14","69"
"456","2021-05-25","台北市","士林區","6","65"
"457","2021-05-25","台北市","北投區","4","52"
"458","2021-05-25","台北市","松山區","4","51"
"459","2021-05-25","台北市","南港區","5","46"
"460","2021-05-25","台北市","內湖區","10","44"
"461","2021-05-25","台南市","全區","4","13"
"462","2021-05-25","台南市","麻豆區","3","4"
"463","2021-05-25","台南市","安平區","1","2"
"464","2021-05-25","台東縣","全區","2","2"
"465","2021-05-25","台東縣","太麻里鄉","1","1"
"466","2021-05-25","台東縣","成功鎮","1","1"
"467","2021-05-25","基隆市","全區","12","66"
"468","2021-05-25","基隆市","中山區","3","17"
"469","2021-05-25","基隆市","仁愛區","2","12"
"470","2021-05-25","基隆市","七堵區","3","9"
"471","2021-05-25","基隆市","中正區","2","8"
"472","2021-05-25","基隆市","暖暖區","1","4"
"473","2021-05-25","基隆市","信義區","1","2"
"474","2021-05-25","宜蘭縣","全區","8","49"
"475","2021-05-25","宜蘭縣","宜蘭市","1","11"
"476","2021-05-25","宜蘭縣","冬山鄉","1","8"
"477","2021-05-25","宜蘭縣","五結鄉","1","6"
"478","2021-05-25","宜蘭縣","頭城鎮","3","6"
"479","2021-05-25","宜蘭縣","礁溪鄉","1","4"
"480","2021-05-25","宜蘭縣","南澳鄉","1","1"
"481","2021-05-25","屏東縣","全區","4","21"
"482","2021-05-25","屏東縣","潮州鎮","1","11"
"483","2021-05-25","屏東縣","長治鄉","1","2"
"484","2021-05-25","屏東縣","東港鎮","1","1"
"485","2021-05-25","屏東縣","萬巒鄉","1","1"
"486","2021-05-25","彰化縣","全區","12","112"
"487","2021-05-25","彰化縣","溪湖鎮","4","44"
"488","2021-05-25","彰化縣","員林市","5","15"
"489","2021-05-25","彰化縣","彰化市","1","13"
"490","2021-05-25","彰化縣","埔心鄉","2","11"
"491","2021-05-25","新北市","全區","249","2048"
"492","2021-05-25","新北市","板橋區","60","514"
"493","2021-05-25","新北市","中和區","34","307"
"494","2021-05-25","新北市","三重區","32","230"
"495","2021-05-25","新北市","新莊區","33","190"
"496","2021-05-25","新北市","永和區","14","146"
"497","2021-05-25","新北市","土城區","7","136"
"498","2021-05-25","新北市","新店區","15","134"
"499","2021-05-25","新北市","蘆洲區","7","80"
"500","2021-05-25","新北市","五股區","7","53"
"501","2021-05-25","新北市","樹林區","8","51"
"502","2021-05-25","新北市","汐止區","12","44"
"503","2021-05-25","新北市","淡水區","2","40"
"504","2021-05-25","新北市","林口區","5","29"
"505","2021-05-25","新北市","泰山區","5","27"
"506","2021-05-25","新北市","三峽區","4","23"
"507","2021-05-25","新北市","八里區","1","12"
"508","2021-05-25","新北市","深坑區","3","11"
"509","2021-05-25","新竹市","全區","4","15"
